filename,words
0.jpg,R. QUESTURA DI MACERATA
1.jpg,Addì
2.jpg,4.6.I943.XXI
3.jpg,Gab.
4.jpg,OOII7O
5.jpg,Dio.
6.jpg,N.
7.jpg,Risposta
8.jpg,note
9.jpg,N.
10.jpg,I07
11.jpg,del.
12.jpg,29.5.u.s.
13.jpg,NEUBANER
14.jpg,fu
15.jpg,Salomone ebreo
16.jpg,apolide.
17.jpg,Oggetto
18.jpg,Direttore
19.jpg,Ca mpo
20.jpg,Concentranento
21.jpg,Urbisaglia
22.jpg,Il
23.jpg,soprascritto
24.jpg,straniero
25.jpg,è
26.jpg,stato
27.jpg,qui
28.jpg,censito.
29.jpg,Sulla
30.jpg,sua
31.jpg,dichiarazione
32.jpg,di
33.jpg,soggior
34.jpg,no
35.jpg,dovrà
36.jpg,pertanto
37.jpg,essere
38.jpg,apposta
39.jpg,la
40.jpg,sigla
41.jpg,C.S.
42.jpg,MACERATA
43.jpg,IL
44.jpg,QUESTORE
47.jpg,Ugo
48.jpg,R. QUESTURA DI MACERATA
51.jpg,Dio.
52.jpg,Gab 
53.jpg,N.
54.jpg,307 .
55.jpg,Risposte
56.jpg,NEUBAUER Hugo
57.jpg,di
58.jpg,Salomone internato.
60.jpg,DIrettore
61.jpg,Campo
62.jpg,Concentramento
63.jpg,Urbisaglia
64.jpg,Ia
65.jpg,R.Questura
66.jpg,di Milano
67.jpg,ha
68.jpg,autorizzato
69.jpg,la
70.jpg,straniera
71.jpg,SCHMOLKA
72.jpg,Hermine
73.jpg,a
74.jpg,recarsi
75.jpg,ad
76.jpg,Urbisa-
77.jpg,glia
78.jpg,per
79.jpg,visitare
80.jpg,il
81.jpg,marito
82.jpg,in
83.jpg,oggetto
84.jpg,indicato.
85.jpg,Ia predetta
86.jpg,è
87.jpg,partita
88.jpg,da
89.jpg,quella
90.jpg,città
91.jpg,il
92.jpg,giorno
93.jpg,4
94.jpg,corrente
95.jpg,mese.
96.jpg,Si
97.jpg,gradità
98.jpg,conoscere
99.jpg,la
100.jpg,data
101.jpg,di
102.jpg,partenza
103.jpg,II
104.jpg,QUESTORE
105.jpg,(V.Ceniti)
108.jpg,COMANDO
109.jpg,STAZIONE
110.jpg,RRCC
111.jpg,URBISAGLIA
112.jpg,R.QUESTURA
113.jpg,MACERATA
114.jpg,OggettO=Scholka
115.jpg,Hermine
116.jpg,di
117.jpg,Samuel
118.jpg,E'
119.jpg,giunta ed
120.jpg,à
121.jpg,preso alloggio
122.jpg,in
123.jpg,codesto
124.jpg,albergo
125.jpg,la
126.jpg,stranieraea
127.jpg,soprascrit
128.jpg,moglie
129.jpg,dell
130.jpg,internato
131.jpg,Neubauer
132.jpg,Hugo ebreo
133.jpg,tedesco.
134.jpg,Preso disporre
135.jpg,sul
136.jpg,conto
137.jpg,dei
138.jpg,suddetti
139.jpg,laebreo
140.jpg,oppor=
141.jpg,tuna
142.jpg,vigilanza.
143.jpg,Il
144.jpg,Direttore
145.jpg,ta
146.jpg,N°
147.jpg,I07
148.jpg,29/v/I943
149.jpg,XI°
150.jpg,R°
151.jpg,QUESTURA
152.jpg,MACERATA
153.jpg,OGGETTO=Neubauer
154.jpg,di
155.jpg,Salomone
156.jpg,internato
157.jpg,Il
158.jpg,soprascritto
159.jpg,rese
160.jpg,la
161.jpg,sua
162.jpg,prima
163.jpg,dichiarazione
164.jpg,a
165.jpg,Milano
166.jpg,nel
167.jpg,25/7/I939come
168.jpg,da copia
169.jpg,in
170.jpg,atti
171.jpg,Ma
172.jpg,non
173.jpg,vi
174.jpg,fucone
175.jpg,censito
176.jpg,Prego
177.jpg,autorizzarmi
178.jpg,il
179.jpg,censimento
180.jpg,in questa provincia.
181.jpg,La prima
182.jpg,dichiarazione
183.jpg,reca
184.jpg,il
185.jpg,n°
186.jpg,3I41=
187.jpg,Il
188.jpg,Direttore
189.jpg,Ugo1000.jpg;REGIA
1001.jpg,QUESTURA
1002.jpg,DI
1003.jpg,MILANO
1004.jpg,Mil
1005.jpg,22
1006.jpg,luglio
1007.jpg,I940-XVIII
1008.jpg,N°
1009.jpg,013460
1010.jpg,Gab . Str. A 12
1011.jpg,Alleg.I
1012.jpg,OGGETTO 
1013.jpg,Neubauer Hugo
1014.jpg,di
1015.jpg,Salonone-ebreo
1016.jpg,tedesco.
1017.jpg,Al
1018.jpg,Direttore
1019.jpg,del
1020.jpg,Campo
1021.jpg,di
1022.jpg,concentramento
1023.jpg,di
1024.jpg,Urbisaglia
1025.jpg,Si
1026.jpg,trasmette
1027.jpg,l'accluso passaporto
1028.jpg,dello
1029.jpg,straniero
1030.jpg,in
1031.jpg,oggetto
1032.jpg,costà
1033.jpg,fatto
1034.jpg,accompagnare
1035.jpg,da agenti
1036.jpg,di
1037.jpg,quest'ufficio.
1038.jpg,Si
1039.jpg,gradirà
1040.jpg,assicurazione.
1041.jpg,P .Il
1042.jpg,Questore
1043.jpg,ano 
1044.jpg,risp.
1045.jpg,n°
1046.jpg,213
1047.jpg,del
1048.jpg,19
1049.jpg,corr
1050.jpg,CAMPO
1051.jpg,DI
1052.jpg,CONCENTRAMENTO
1053.jpg,PER INTERNATI
1054.jpg,URBISAGLIA
1055.jpg,BONSERVIZI
1056.jpg,(Macerata)
1057.jpg,URBISAGLIA BONSERVIZI
1058.jpg,25/7/1940-XVIII°
1059.jpg,Prot.N°
1060.jpg,122
1061.jpg,OGGETTo
1062.jpg,Neubauer
1063.jpg,Israel
1064.jpg,fu
1065.jpg,Salomone
1066.jpg,nato
1067.jpg,Theusing
1068.jpg,24/8/1883
1069.jpg,commerciante
1070.jpg,tedesco
1071.jpg,Alla R.Questura
1072.jpg,di
1073.jpg,Milano
1074.jpg,o
1075.jpg,di
1076.jpg,Maccrata
1077.jpg,Il
1078.jpg,controscritto
1079.jpg,ebreo
1080.jpg,è
1081.jpg,giunto
1082.jpg,og
1083.jpg,gi
1084.jpg,in
1085.jpg,questo Campo
1086.jpg,di
1087.jpg,Concentramento
1088.jpg,pro-
1089.jpg,ente
1090.jpg,da
1091.jpg,Milano
1092.jpg,Allo
1093.jpg,scopo
1094.jpg,di
1095.jpg,il
