filename,words
0.png,mio
1.png,buon
2.png,amico
3.png,civitavecchia
4.png,17
5.png,gennaio
6.png,1839
7.png,Credo
8.png,non
9.png,avrete
10.png,di
11.png,me
12.png,ancora
13.png,nulla
14.png,vi
15.png,ho
16.png,scritto
17.png,vi
18.png,ho
19.png,mandato
20.png,le
21.png,mie
22.png,notizie
23.png,e
24.png,miei
25.png,dal
26.png,comune
27.png,e
28.png,certo
29.png,che
30.png,avrete
31.png,avuto
32.png,le
33.png,uno
34.png,e
35.png,gli
36.png,altri
37.png,appena
38.png,qui
39.png,tornato
40.png,per
41.png,far
42.png,le
43.png,feste
44.png,di
45.png,natale
46.png,mi
47.png,occupai
48.png,di
49.png,preparare
50.png,una
51.png,cassa
52.png,di
53.png,minerali
54.png,e
55.png,conchiglie
56.png,di
57.png,questi
58.png,luoghi
59.png,pervi
60.png,venne
61.png,il
62.png,conte
63.png,generale
64.png,e
65.png,mi
66.png,ha
67.png,tenuto
68.png,fino
69.png,alle
70.png,giorni
71.png,in
72.png,continua
73.png,per cui
74.png,non
75.png,potrei
76.png,terminare
77.png,prima
78.png,d
79.png,oggi
80.png,la
81.png,detta
82.png,cassa
83.png,ora
84.png,pero
85.png,ci
86.png,prevengo
87.png,che
88.png,e
89.png,siccome
90.png,voi
91.png,mi
92.png,diceste
93.png,aver
94.png,modo
95.png,di
96.png,ritirarla
97.png,di
98.png,così
99.png,pregovi
100.png,indicarmi
101.png,a chi
102.png,debba
103.png,farne
104.png,seguire
105.png,la
106.png,consegna
107.png,voi
108.png,troverete
109.png,di
110.png,minerali
111.png,dei
112.png,quali
113.png,sono
114.png,certo
115.png,un
116.png,mineralogista
117.png,venuto
118.png,a vedere
119.png,la
120.png,mia
121.png,collezione
122.png,di
123.png,conchiglie
124.png,mi
125.png,trovo
126.png,li
127.png,stavo
128.png,preparando
129.png,per voi
130.png,e
131.png,ne
132.png,voleva
133.png,alcuni
134.png,ogni
135.png,costo
136.png,gli
137.png,stessi che li
138.png,avevo
139.png,gia
140.png,disposto
141.png,e che non
142.png,potevo
143.png,compiacerlo
144.png,le
145.png,conchiglie
146.png,portano
147.png,tutte
148.png,nel
149.png,di cui
150.png,ho
151.png,qui
152.png,e
153.png,pregovi
154.png,poi
155.png,con
156.png,a
157.png,dire
158.png,voi
159.png,e di
160.png,se vi e
161.png,nota
162.png,per
163.png,questo
164.png,ve ne
165.png,ho
166.png,introduzione
167.png,questa
168.png,piccola
169.png,opera
170.png,che
171.png,io
172.png,allesame
173.png,degli
174.png,forma
175.png,il compimento
176.png,della
177.png,chimica
178.png,inorganica
179.png,trattata
180.png,nei miei
181.png,elementi
182.png,pubblicati
183.png,in lingua
184.png,svedese
185.png,egli
186.png,e
187.png,di
188.png,riuscire
189.png,la
190.png,conoscenza
191.png,di
192.png,molti
193.png,senza
194.png,concepire
195.png,il
196.png,desiderio
197.png,fatto
198.png,generali
199.png,rapporti
200.png,e dopo
201.png,aver
202.png,o almeno
203.png,creduto
204.png,di conoscere
205.png,rapporti
