filename;words
0.jpg;R QUESTURA DI MACERATA
1.jpg;Addì
2.jpg;4.6.I943XXI
3.jpg;Gab .
4.jpg;OOII7O
5.jpg;Dio
6.jpg;N
7.jpg;Kispesta
8.jpg;note
9.jpg;N.
10.jpg;Io7
11.jpg;del
12.jpg;29.5.4.9.
13.jpg;NEUBA NER
14.jpg;fu
15.jpg;Salonone,ebreo
16.jpg;apolide.
17.jpg;Oggette
18.jpg;Direttore
19.jpg;Ca mpo
20.jpg;Concentranento
21.jpg;Urbisgl19
22.jpg;I1
23.jpg;9 oprasoritto
24.jpg;stranzero
25.jpg;e
26.jpg;stato
27.jpg;qu1
28.jpg;cens 1 t0 .
29.jpg;Sulla
30.jpg;sua
31.jpg;d1chlarazzone
32.jpg;d1
33.jpg;90gg1or
34.jpg;no
35.jpg;do vrà
36.jpg;pertanto
37.jpg;essere
38.jpg;apposta
39.jpg;1a
40.jpg;s1gla
41.jpg;"C . S.
42.jpg;DTACERA 74 "
43.jpg;IL
44.jpg;QU ESTORE
45.jpg;(V.Ce21t1)
46.jpg;Qu4
47.jpg;Ugo
48.jpg;RQUESIUR ' DI;lACERATA
49.jpg;Kddì
50.jpg;7.6.1943 XXI
51.jpg;0iv.
52.jpg;Gab 
53.jpg;N
54.jpg;307 .
55.jpg;{(srea1e
56.jpg;NEUBAUER Hugo
57.jpg;d1
58.jpg;Salonone ,1nternato.
59.jpg;''vexti
60.jpg;DIrettore
61.jpg;Canpo
62.jpg;Concentranento
63.jpg;Urbis gl1a
64.jpg;Ie
65.jpg;R.Questura
66.jpg;d1 M1lano
67.jpg;ha
68.jpg;autorizzato
69.jpg;1a
70.jpg;stranlera
71.jpg;SCHIOLKA
72.jpg;Hernine
73.jpg;a
74.jpg;recarai
75.jpg;ad
76.jpg;Urbisa-
77.jpg;gl1a
78.jpg;per
79.jpg;V1s1 tare
80.jpg;11
81.jpg;narit0
82.jpg;In
83.jpg;oggetto
84.jpg;IndIcato
85.jpg;Ia predetta
86.jpg;è
87.jpg;partita
88.jpg;da
89.jpg;quella
90.jpg;c1 ttà
91.jpg;11
92.jpg;g1orno
93.jpg;4
94.jpg;corrente
95.jpg;me se.
96.jpg;S1
97.jpg;gradztà
98.jpg;conoscere
99.jpg;1a
100.jpg;data
101.jpg;Q1
102.jpg;partenza
103.jpg;II
104.jpg;QU ESTORE
105.jpg;(V.Cenzt1)
106.jpg;Uoui}
107.jpg;56  
108.jpg;COKANDO
109.jpg;SIAZIONE
110.jpg;RRCC
111.jpg;URBISAGLIA
112.jpg;R.QUESTURA
113.jpg;MACLRATA
114.jpg;OggettO=Scholka
115.jpg;Hernine
116.jpg;di
117.jpg;Samuel
118.jpg;E'
119.jpg;giunte,ea
120.jpg;a
121.jpg;preeo alloggio
122.jpg;in
123.jpg;codesto
124.jpg;albergo
125.jpg;la
126.jpg;straniera
127.jpg;soprascrit
128.jpg;moslie
129.jpg;dell
130.jpg;internato
131.jpg;Feubauer
132.jpg;Hugo ,ebreo
133.jpg;bedesco .
134.jpg;Preso disporre
135.jpg;su1
136.jpg;conto
137.jpg;dei
138.jpg;sudde €ti
139.jpg;la
140.jpg;oppor=
141.jpg;tuna
142.jpg;visilanze.
143.jpg;Il
144.jpg;Direttore
145.jpg;ca,
146.jpg;No
147.jpg;I07
148.jpg;29/v/1943
149.jpg;XIO
150.jpg;Ro
151.jpg;QUESTURA
152.jpg;KACERAIA
153.jpg;OSGETTO= Yeubauer
154.jpg;di
155.jpg;Salonone
156.jpg;internato
157.jpg;Il
158.jpg;soprascritto
159.jpg;rese
160.jpg;la
161.jpg;sua
162.jpg;prina
163.jpg;dichiarazione
164.jpg;8
165.jpg;Milano
166.jpg;nel
167.jpg;25/7/1939,cone
168.jpg;da copia
169.jpg;in
170.jpg;atti
171.jpg;Ma
172.jpg;on
173.jpg;vi
174.jpg;fu
175.jpg;censito
176.jpg;Prego
177.jpg;autorizzarni
178.jpg;il
179.jpg;censinento
180.jpg;in questa provincia.
181.jpg;La prina
182.jpg;dichiarazione
183.jpg;reca
184.jpg;il
185.jpg;n'
186.jpg;3141=
187.jpg;Il
188.jpg;Direttore
189.jpg;Ugo
