filename;words
0.jpg;REGIA
1.jpg;CUESTURA
2.jpg;DI
3.jpg;MILAno
4.jpg;Mil
5.jpg;22
6.jpg;luglio
7.jpg;I940-XVIII
8.jpg;No
9.jpg;013460
10.jpg;Gab . Str. A 12
11.jpg;Alleg.I
12.jpg;OGGETTO /
13.jpg;Neubauer Hugo
14.jpg;di
15.jpg;Salonont-ebreo
16.jpg;tedesco .
17.jpg;Al
18.jpg;Direttore
19.jpg;del
20.jpg;Cannpo
21.jpg;di
22.jpg;concent:orento
23.jpg;di
24.jpg;Urbiseglia
25.jpg;Si
26.jpg;trasnette
27.jpg;1'accluso passaporto
28.jpg;dell 0
29.jpg;straniero
30.jpg;in
31.jpg;oggetto
32.jpg;costà
33.jpg;fatto
34.jpg;acconpagnare
35.jpg;da agenti
36.jpg;di
37.jpg;quest'ufficio.
38.jpg;Si
39.jpg;gradirà
40.jpg;assicurazione.
41.jpg;P .Il
42.jpg;Questore
43.jpg;4
44.jpg;Josuu 
45.jpg;M
46.jpg;ano ,
47.jpg;risp.
48.jpg;no
49.jpg;213
50.jpg;del
51.jpg;19
52.jpg;corr
53.jpg;CAMPC
54.jpg;DI
55.jpg;CCNCENPR AMEIK
56.jpg;PSK  NTEFKAI
57.jpg;53332=
58.jpg;URBISAGLIA
59.jpg;BSNSERVIZI
60.jpg;(Maocrata)
61.jpg;URBISAGLIA BONSEKVIZI
62.jpg;25/74/940-XVI | / 0
63.jpg;Prot.No
64.jpg;1 22
65.jpg;OGGETTC
66.jpg;Neubauer
67.jpg;Lsroel
68.jpg;fv
69.jpg;Solomone
70.jpg;nato
71.jpg;Theusing
72.jpg;2478/7883
73.jpg;comnerciontez
74.jpg;Ledesco
75.jpg;Alla R.Qucstura
76.jpg;di
77.jpg;LiLino
78.jpg;0
79.jpg;di
80.jpg;Maccrata
81.jpg;Il
82.jpg;controscritto
83.jpg;obrvo
84.jpg;6
85.jpg;Eiunto
86.jpg;Oe
87.jpg;gi
88.jpg;ir
89.jpg;ouosto Canpo
90.jpg;di
91.jpg;Concontranonto
92.jpg;prO _
93.jpg;01vo
94.jpg;da
95.jpg;Milene-
96.jpg;4l10
97.jpg;scopo
98.jpg;Q1
99.jpg;iantarc
100.jpg;11
101.jpg;fasci-
102.jpg;co10
103.jpg;pcrsonalc,ginsta disposizioni
104.jpg;O1 -
105.jpg;tito
106.jpg;dal Ministcro;si
107.jpg;prcga
108.jpg;conulicarc
109.jpg;irfornazioni
110.jpg;C
111.jpg;quant
112.jpg;altrc
113.jpg;risulb2
114.jpg;5111
115.jpg;910
116.jpg;conto
117.jpg;in
118.jpg;cotosti
119.jpg;atti,spccificandola
120.jpg;10
121.jpg;coniizioni
122.jpg;econcrichc
123.jpg;C
124.jpg;sc
125.jpg;ritcnuto
126.jpg;in grado
127.jpg;di
128.jpg;nantencrsi
129.jpg;4
130.jpg;propric S1Csc
131.jpg;in
132.jpg;questo Canpo
133.jpg;di
134.jpg;Conccntranento
135.jpg;IL
136.jpg;COMLISSARIS
137.jpg;AGG .DI
138.jpg;P, $,
139.jpg;co
140.jpg;fO k_
141.jpg;Hugo
142.jpg;p. € 
143.jpg;voni
144.jpg;icp
145.jpg;in?
146.jpg;0
147.jpg;R.
148.jpg;QUESTURA
149.jpg;DI
150.jpg;MILA NO
151.jpg;Divisione
152.jpg;N.
153.jpg;di
154.jpg;09129.08
155.jpg;Str.
156.jpg;Milano,
157.jpg;31/5/1941 .XIX
158.jpg;Risposta
159.jpg;a
160.jpg;nota
161.jpg;Allegati
162.jpg;OGGETTO
163.jpg;Neubauer
164.jpg;Ugo
165.jpg;Qi
166.jpg;Salonone
167.jpg;Ebreo_gernanico
168.jpg;2
169.jpg;A
170.jpg;Al
171.jpg;Direttore
172.jpg;del
173.jpg;Canpo
174.jpg;di
175.jpg;Ga9
176.jpg;Concentranento
177.jpg;qi
178.jpg;Urbiseglig
179.jpg;2
180.jpg;6
181.jpg;p.€.
182.jpg;Alla Recia
183.jpg;Que stura
184.jpg;Qí
185.jpg;acerata
186.jpg;In
187.jpg;data
188.jpg;odzerna
189.jpg;120
190.jpg;conce 830
191.jpg;perne 980
192.jpg;valiac
193.jpg;Sicrni
194.jpg;quattro
195.jpg;alle
196.jpg;Signora
197.jpg;Scholka
198.jpg;Eraine
199.jpg;per
200.jpg;viaitare
201.jpg;il
202.jpg;m2?
203.jpg;rito
204.jpg;costà
205.jpg;interneto.
206.jpg;2
207.jpg;Ia precette eprtirà il
208.jpg;4
209.jpg;giugno prossino seguendo
210.jpg;1'itenerario
211.jpg;Milano
212.jpg;Bologna
213.jpg;~acerata
214.jpg;2
215.jpg;viceversa,
216.jpg;11
217.jpg;Que store
218.jpg;0y
219.jpg;Gab.
220.jpg;prot.
221.jpg;TAS
222.jpg;Direzione
223.jpg;del
224.jpg;Campo
225.jpg;di
226.jpg;concentramento
227.jpg;di
228.jpg;Urbisag Lia
229.jpg;B
230.jpg;N
231.jpg;122
232.jpg;di   pvotocollo
233.jpg;Risposta
234.jpg;a
235.jpg;nota
236.jpg;N.00L2908
237.jpg;str del 15/5/41 /XLXc
238.jpg;Urbisag Lia
239.jpg;addì
240.jpg;21/514L /XLX"
241.jpg;0gg9tto
242.jpg;Neubauer
243.jpg;di
244.jpg;Salonone_ebreo
245.jpg;Iedesco
246.jpg;MAG
