file,avg,median,75th,90th,95th
B12_NEUBAUER-HUGO_1_23_0000.JPG,0.526,0.51,0.728,0.994,0.999
B12_NEUBAUER-HUGO_1_7_0000.JPG,0.532,0.496,0.774,0.912,0.96
B12_NEUBAUER-HUGO_6_0000.JPG,0.473,0.368,0.732,0.986,0.997
B12_NEUBAUER-HUGO_1_0000.JPG,0.546,0.52,0.887,0.99,0.998
B12_NEUBAUER-HUGO_10_0000.JPG,0.462,0.338,0.686,0.972,0.996
B12_NEUBAUER-HUGO_1_5_0000.JPG,0.545,0.498,0.874,0.97,0.983
652_0002.JPG,0.195,0.103,0.275,0.591,0.635
B12_NEUBAUER-HUGO_1_6_0000.JPG,0.605,0.56,0.857,0.969,0.996
B12_NEUBAUER-HUGO_1_2_0000.JPG,0.57,0.485,0.8,0.968,0.983
652_0000.JPG,0.136,0.085,0.18,0.322,0.412
B12_NEUBAUER-HUGO_1_9_0000.JPG,0.63,0.686,0.88,0.995,0.997
B12_NEUBAUER-HUGO_17_0000.JPG,0.528,0.485,0.804,0.945,0.987
B12_NEUBAUER-HUGO_1_4_0000.JPG,0.521,0.472,0.748,0.906,0.992
B12_NEUBAUER-HUGO_20_0000.JPG,0.481,0.396,0.801,0.99,1.0
